Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma
575,276.842916,0.000000,0.000000,0,0
576,277.281445,0.000000,0.000000,0,0
577,277.722883,0.000000,0.000000,0,0
578,279.062717,0.000000,0.000000,0,0
579,279.517441,0.000000,0.000000,0,0
580,280.415763,926.782649,1.000000,14,62222
581,281.753438,931.203708,1.000000,22,62795
582,282.651729,934.172587,1.000000,31,63211
583,283.091858,935.627225,1.000000,32,63449
584,283.534830,0.000000,0.000000,0,0
585,284.875411,0.000000,0.000000,0,0
586,285.322624,0.000000,0.000000,0,0
587,285.772637,0.000000,0.000000,0,0
588,285.334891,0.000000,0.000000,0,0
589,285.791882,0.000000,0.000000,0,0
590,286.251638,0.000000,0.000000,0,0
591,285.828620,0.000000,0.000000,0,0
592,286.295302,0.000000,0.000000,0,0
593,285.882843,0.000000,0.000000,0,0
594,285.476794,0.000000,0.000000,0,0
595,285.077183,0.000000,0.000000,0,0
596,284.684035,0.000000,0.000000,0,0
597,283.809795,0.000000,0.000000,0,0
598,283.425475,0.000000,0.000000,0,0
599,283.047699,0.000000,0.000000,0,0
600,282.676494,0.000000,0.000000,0,0
601,282.311884,0.000000,0.000000,0,0
602,281.448041,0.000000,0.000000,0,0
603,281.092511,0.000000,0.000000,0,0
604,280.743655,0.000000,0.000000,0,0
605,280.401498,0.000000,0.000000,0,0
606,280.066064,0.000000,0.000000,0,0
607,279.737377,0.000000,0.000000,0,0
608,279.415461,0.000000,0.000000,0,0
609,280.793518,0.000000,0.000000,0,0
610,280.479946,0.000000,0.000000,0,0
611,281.859894,0.000000,0.000000,0,0
612,282.396884,0.000000,0.000000,0,0
613,283.778082,0.000000,0.000000,0,0
614,284.318483,0.000000,0.000000,0,0
615,284.861370,0.000000,0.000000,0,0
616,285.406727,0.000000,0.000000,0,0
617,285.954542,0.000000,0.000000,0,0
618,285.671140,0.000000,0.000000,0,0
619,285.394464,0.000000,0.000000,0,0
620,285.124534,0.000000,0.000000,0,0
621,284.861370,0.000000,0.000000,0,0
622,284.604989,0.000000,0.000000,0,0
623,283.783368,0.000000,0.000000,0,0
624,282.962895,0.000000,0.000000,0,0
625,282.143580,0.000000,0.000000,0,0
626,281.902465,0.000000,0.000000,0,0
627,281.087175,0.000000,0.000000,0,0
628,280.273081,0.000000,0.000000,0,0
629,280.044639,0.000000,0.000000,0,0
630,279.234668,0.000000,0.000000,0,0
631,279.016129,0.000000,0.000000,0,0
632,278.210352,0.000000,0.000000,0,0
633,277.405840,0.000000,0.000000,0,0
634,276.602603,0.000000,0.000000,0,0
635,276.400072,0.000000,0.000000,0,0
636,275.601161,0.000000,0.000000,0,0
637,274.803566,0.000000,0.000000,0,0
638,274.007299,0.000000,0.000000,0,0
639,273.212372,0.000000,0.000000,0,0
640,272.418795,0.000000,0.000000,0,0
641,272.238866,0.000000,0.000000,0,0
642,271.449811,0.000000,0.000000,0,0
643,270.662151,0.000000,0.000000,0,0
644,269.875897,0.000000,0.000000,0,0
645,269.712810,0.000000,0.000000,0,0
646,268.931218,0.000000,0.000000,0,0
647,268.151077,0.000000,0.000000,0,0
648,267.372399,0.000000,0.000000,0,0
649,267.226496,0.000000,0.000000,0,0
650,266.452622,0.000000,0.000000,0,0
